name,type,latitude,longitude,address,phone,owner,rating,image,description
台科學餐,學餐,25.013330675403058,121.54055377729,106台北市大安區基隆路四段43號,227333141,台科大,5.0,"76a31975-55aa-4749-bd23-435055befb0f.jpg,e9cbbfb4-083c-44bf-ac8a-d57371effb33.png",國立台灣科技大學是一所位於台灣台北市的公立大學。 台灣科技大學成立於 1974 年，前身為國立台灣理工學院，是台灣科技大學教育系統中第一所也是領先的高等教育機構。台科大與國立台灣大學、國立台灣師範大學組成學術聯盟，名為國立台灣大學系統。此外，台科大的國際碩士和博士生數量為台灣最多。
隱家,拉麵,25.01476270246252,121.53341072550477,10090台北市中正區羅斯福路四段52巷1之1號,223684555,未知,0.0,2676509e-824a-41b3-b0e1-0f880e47fc40.jpg,好吃的拉麵
大埔鐵板燒 公館店,鐵板燒,25.01222866917108,121.5356331316079,100台北市中正區汀州路三段287號,223670675,未知,0.0,0dd717e6-25b1-4853-ab4f-adc7b04ff61d.jpg,好吃的鐵板燒
威宇牛排 - 公館店,牛排,25.013022422220324,121.5351866432718,100台北市中正區汀州路三段257號,223686875,未知,0.0,5e6d79bb-2a89-45d5-a2b1-59abc0a7b791.jpg,好吃的牛排
義樂麵屋,義大利麵,25.01621287783414,121.53181253899749,100台北市中正區羅斯福路三段284巷5號,223670279,未知,0.0,41e08a84-75b4-4836-8390-26f8f426a5f2.jpg,好吃的義大利麵
塊雞師食務所 Achicken Firm,肌肉餐廳,25.01274956701489,121.5359746506242,100台北市中正區羅斯福路四段146號,223650300,未知,0.0,55cf0d21-eb12-40e3-a7a0-39117e223907.jpg,好吃的餐廳
